Part,Qty Needed,Total Cost,Why?,Anything Else?,Link
2040 T-slot extrusion 350mm,4,$27.00,For base of the frame,Clear Anodize | HFS5-2040-350,https://us.misumi-ec.com/vona2/detail/110302684350/?HissuCode=HFS5-2040-350&PNSearch=HFS5-2040-350&searchFlow=results2type&KWSearch=HFS5-2040-350&seriesCode=110302684350&tab=drawingAndSpecifications&Page=1
2020 T-slot extrusion 350mm,3,$17.31,For the X Axis and the two Z towers,Clear Anodize | HFS5-2020-350,https://us.misumi-ec.com/vona2/detail/110302683830/?seriesCode=110302683830&tab=drawingAndSpecifications&CategorySpec=00000332694%3A%3A350%0900000042737%3A%3Aa&Page=1
M5 T-Nut Kit,1,$4.92,To join parts,It has 100Pcs,https://www.aliexpress.us/item/3256808597854176.html?spm=a2g0o.productlist.main.12.191a8yRy8yRytu&algo_pvid=2e13c075-284e-486d-81dc-2b0e88c02a7e&algo_exp_id=2e13c075-284e-486d-81dc-2b0e88c02a7e-34&pdp_ext_f=%7B%22order%22%3A%22468%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.26%211.26%21%21%2129.36%218.68%21%402101d49617730345891458336e1016%2112000046653020050%21sea%21US%216407866782%21X%211%210%21n_tag%3A-29919%3Bd%3A921daadf%3Bm03_new_user%3A-29895%3BpisId%3A5000000198764574&curPageLogUid=Rnu7snFro4kU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008784168928%7C_p_origin_prod%3A
M5 8mm Bolt Kit,1,$4.99,To screw into the T Nuts,It has 100Pcs,https://www.amazon.com/Stainless-Threaded-Spanner-Furniture-Fixture/dp/B0FPG1VZYH/ref=sr_1_11?crid=22K53G0LUD6FA&dib=eyJ2IjoiMSJ9.vWsNoK4OozeAWWU6Ryb6ErHX_0r46H_TjpcLIPt7IljHUCN83vnWYpiMQG5hEe3dZp2v6C5KZmla7kMGAI3v_fzkP9yJOu8coit5zHc5COlMxwySvyId7DICoz8MA5Mz2vUAjA979aJKWrKP2QoEOdI7JRnRGiAGIW_DNb3GbK16WxB65eU_GqQQ2VPqpZpw-5x5ppLqngBls9KlvxiTZLfDE_uAA3uqjYo5mVmf1CujuRvPiA8JZgYRragOJf9nt9FzmNbwL02FEyh4hyQEAzLQtnKEZAGgdB0dAyApP3c.lhqTz8gImQdgQ8rvMTSW_E9ugqQygPCv9vfRClb9MbM&dib_tag=se&keywords=M5%2B8mm%2BBolt&qid=1773035456&s=hi&sprefix=m5%2B8mm%2Bbolt%2Ctools%2C375&sr=1-11&th=1
8mm smooth rod 350mm,6,$28.74,"For Y Guiding For the Bed and For Z Guiding For the Linear Rail
",6Pcs 8mm x 350mm,https://www.aliexpress.us/item/3256807362660070.html?spm=a2g0o.cart.0.0.69a938daZ6FrZq&mp=1&pdp_npi=6%40dis%21USD%21USD%204.91%21USD%204.79%21%21USD%204.79%21%21%21%402101d9ef17733711875434095e93c7%2112000041253230745%21ct%21US%216407866782%21%214%210%21&_gl=1*1252gl5*_gcl_au*MjA1NjAxNzA2NS4xNzcyNjYyNTQ1*_ga*MzAwMDc4MTAwLjE3NzMzNjk0NTI.*_ga_VED1YSGNC7*czE3NzMzNjk0NTIkbzEkZzEkdDE3NzMzNzExOTEkajYwJGwwJGgw&gatewayAdapt=glo2usa
LM8UU linear bearing,12,$6.32,"2 per rod, slides along smooth rod",10Pcs,https://www.amazon.com/Bearings-Diameter-Bushing-Engraving-Projects/dp/B0GCKMDYPG/ref=sr_1_1_hul_wg?crid=3JV58YK5J5Y5A&dib=eyJ2IjoiMSJ9.FjQqjAJsV5WbzuQBIKh4uICaY6XsRx0wkfLQBNPa-JfFVs3D_R3VDs5g18kKlHO2JWPoIiCY6k6bY00ivfc2Tp88FAGqJonMzOORNG6WtbeborIYyqFXq5lYXrTmDW3PoJLSVsykhiYdq-NJWei6NpJxrAVmWTJVnp9k5QjSyIxnhY-JLN0P21uVNm9Ft5eFxlWsvfHYcot8ipPVo5rwYbIThujiAMV9mzcPTo0cQQI.QR5VWTKkrDIYqLguwWSBLOltX4sS8Okp-J9pQHABm0g&dib_tag=se&keywords=LM8UU+linear+bearing&qid=1773280944&s=bazaar&sprefix=lm8uu+linear+bearing%2Cbazaar%2C250&sr=1-1&srs=121974693011&psc=1
T8 leadscrew 330mm,2,$9.54,For Z Movement for the Linear Rail,2Pcs 330mm Lead 8mm with nut,https://www.aliexpress.us/item/3256805992640426.html?src=google&pdp_npi=4%40dis%21USD%212.25%212.25%21%21%21%21%21%40%2112000036155784028%21ppc%21%21%21&gatewayAdapt=glo2usa
5mm to 8mm flexible shaft coupler,2,$3.94,Z motor to leadscrew,5mm x 8mm,https://www.aliexpress.us/item/3256807100994003.html?src=google&pdp_npi=4%40dis%21USD%211.97%211.97%21%21%21%21%21%40%2112000040074981888%21ppc%21%21%21&gatewayAdapt=glo2usa
GT2 6mm open belt,1,$3.90,To move X and Y,White 5M,https://www.aliexpress.us/item/3256805175395061.html?spm=a2g0o.cart.0.0.157038daMZe04U&mp=1&pdp_npi=6%40dis%21USD%21USD%203.90%21USD%203.90%21%21USD%203.90%21%21%21%40210318a717733745502321697e9a1a%2112000045728535025%21ct%21US%216407866782%21%211%210%21&_gl=1*14va9ah*_gcl_au*MjA1NjAxNzA2NS4xNzcyNjYyNTQ1*_ga*MzAwMDc4MTAwLjE3NzMzNjk0NTI.*_ga_VED1YSGNC7*czE3NzMzNjk0NTIkbzEkZzEkdDE3NzMzNzQ1NDEkajQ3JGwwJGgw&gatewayAdapt=glo2usa
20T GT2 pulley 5mm bore,4,$3.96,On X and Y motor shafts,20 Teeth 5mm,https://www.temu.com/goods.html?_bg_fs=1&goods_id=601099817656513&sku_id=17593433606200&_oak_page_source=501&_x_sessn_id=f9m3rl7de6&refer_page_name=shopping_cart&refer_page_id=10037_1773374807565_gnod08gmph&refer_page_sn=10037
